City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hawaiian paradise park,19.5933,-154.9731,21.05,93,20,2.57,US,1723124243
84,longyearbyen,78.2186,15.6401,14.91,72,0,1.54,SJ,1723124243
85,mata-utu,-13.2816,-176.1745,25.67,68,88,9.12,WF,1723124243
86,suva,-18.1416,178.4415,18.71,100,40,2.06,FJ,1723124244
87,norilsk,69.3535,88.2027,15.94,48,43,6.85,RU,1723124244
88,elamanchili,17.55,82.8667,30.11,69,100,3.95,IN,1723124244
89,st. john's,47.5649,-52.7093,22.31,67,20,6.69,CA,1723124147
90,kapoeta,4.7717,33.5903,28.52,53,92,3.36,SS,1723124244
91,east london,-33.0153,27.9116,21.52,68,20,7.2,ZA,1723124222
92,kerikeri,-35.2268,173.9474,7.17,93,8,2.01,NZ,1723124244
93,wailua homesteads,22.0669,-159.378,24.24,81,20,5.14,US,1723124244
94,huron,41.1501,-82.5499,22.6,89,38,1.82,US,1723124244
95,port hope,43.9408,-82.7127,23.04,68,39,4.12,US,1723124245
96,labuan,5.2767,115.2417,24.2,94,40,1.03,MY,1723124245
97,kasongo-lunda,-6.4667,16.8167,38.12,14,12,2.28,CD,1723124245
98,knyaze-volkonskoye,48.4642,135.4567,21.19,82,100,2.55,RU,1723124245
99,ancud,-41.8697,-73.8203,4.99,85,100,1.7,CL,1723124245
100,geraldton,-28.7667,114.6,12.23,94,0,3.09,AU,1723124245
101,sylvania,41.7189,-83.713,22.73,82,100,3.09,US,1723124245
102,holualoa,19.6228,-155.9522,24.37,73,100,0.0,US,1723124245
103,tezu,27.9167,96.1667,24.3,98,87,1.24,IN,1723124245
104,perry,37.2506,-83.1999,26.1,67,88,3.24,US,1723124176
105,languidic,47.8327,-3.1582,23.04,67,8,6.59,FR,1723124246
106,keetmanshoop,-26.5833,18.1333,26.51,8,0,5.14,NA,1723124246
107,tindouf,27.6711,-8.1474,46.25,6,5,3.6,DZ,1723124246
